"","year","category","winner","entity"
"1",1927,"ACTOR","False","Richard Barthelmess"
"2",1927,"ACTOR","True","Emil Jannings"
"3",1927,"ACTRESS","False","Louise Dresser"
"4",1927,"ACTRESS","True","Janet Gaynor"
"5",1927,"ACTRESS","False","Gloria Swanson"
"6",1927,"ART DIRECTION","False","Rochus Gliese"
"7",1927,"ART DIRECTION","True","William Cameron Menzies"
"8",1927,"ART DIRECTION","False","Harry Oliver"
"9",1927,"CINEMATOGRAPHY","False","George Barnes"
"10",1927,"CINEMATOGRAPHY","True","Charles Rosher"
"11",1927,"CINEMATOGRAPHY","True","Karl Struss"
"12",1927,"DIRECTING (Comedy Picture)","True","Lewis Milestone"
"13",1927,"DIRECTING (Comedy Picture)","False","Ted Wilde"
"14",1927,"DIRECTING (Dramatic Picture)","True","Frank Borzage"
"15",1927,"DIRECTING (Dramatic Picture)","False","Herbert Brenon"
"16",1927,"DIRECTING (Dramatic Picture)","False","King Vidor"
"17",1927,"ENGINEERING EFFECTS","False","Ralph Hammeras"
"18",1927,"ENGINEERING EFFECTS","True","Roy Pomeroy"
"19",1927,"ENGINEERING EFFECTS","False","Nugent Slaughter"
"20",1927,"OUTSTANDING PICTURE","False","The Caddo Company"
"21",1927,"OUTSTANDING PICTURE","False","Fox"
"22",1927,"OUTSTANDING PICTURE","True","Paramount Famous Lasky"
"23",1927,"UNIQUE AND ARTISTIC PICTURE","True","Fox"
"24",1927,"UNIQUE AND ARTISTIC PICTURE","False","Metro-Goldwyn-Mayer"
"25",1927,"UNIQUE AND ARTISTIC PICTURE","False","Paramount Famous Lasky"
"26",1927,"WRITING (Adaptation)","False","Alfred Cohn"
"27",1927,"WRITING (Adaptation)","False","Anthony Coldeway"
"28",1927,"WRITING (Adaptation)","True","Benjamin Glazer"
"29",1927,"WRITING (Original Story)","False","Lajos Biro"
"30",1927,"WRITING (Original Story)","True","Ben Hecht"
"31",1927,"WRITING (Title Writing)","False","Gerald Duffy"
"32",1927,"WRITING (Title Writing)","True","Joseph Farnham"
"33",1927,"WRITING (Title Writing)","False","George Marion, Jr."
"34",1927,"SPECIAL AWARD","True","To Warner Bros., for producing The Jazz Singer , the pioneer outstanding talking picture, which has revolutionized the industry."
"35",1927,"SPECIAL AWARD","True","To Charles Chaplin, for acting, writing, directing and producing The Circus ."
"36",1928,"ACTOR","False","George Bancroft"
"37",1928,"ACTOR","True","Warner Baxter"
"38",1928,"ACTOR","False","Chester Morris"
"39",1928,"ACTOR","False","Paul Muni"
"40",1928,"ACTOR","False","Lewis Stone"
"41",1928,"ACTRESS","False","Ruth Chatterton"
"42",1928,"ACTRESS","False","Betty Compson"
"43",1928,"ACTRESS","False","Jeanne Eagels"
"44",1928,"ACTRESS","False","Corinne Griffith"
"45",1928,"ACTRESS","False","Bessie Love"
"46",1928,"ACTRESS","True","Mary Pickford"
"47",1928,"ART DIRECTION","False","Hans Dreier"
"48",1928,"ART DIRECTION","True","Cedric Gibbons"
"49",1928,"ART DIRECTION","False","Mitchell Leisen"
"50",1928,"ART DIRECTION","False","William Cameron Menzies"
"51",1928,"ART DIRECTION","False","Harry Oliver"
"52",1928,"CINEMATOGRAPHY","False","George Barnes"
"53",1928,"CINEMATOGRAPHY","True","Clyde De Vinna"
"54",1928,"CINEMATOGRAPHY","False","Arthur Edeson"
"55",1928,"CINEMATOGRAPHY","False","Ernest Palmer"
"56",1928,"CINEMATOGRAPHY","False","John Seitz"
"57",1928,"DIRECTING","False","Lionel Barrymore"
"58",1928,"DIRECTING","False","Harry Beaumont"
"59",1928,"DIRECTING","False","Irving Cummings"
"60",1928,"DIRECTING","True","Frank Lloyd"
"61",1928,"DIRECTING","False","Frank Lloyd"
"62",1928,"DIRECTING","False","Ernst Lubitsch"
"63",1928,"OUTSTANDING PICTURE","False","Feature Productions"
"64",1928,"OUTSTANDING PICTURE","False","Fox"
"65",1928,"OUTSTANDING PICTURE","True","Metro-Goldwyn-Mayer"
"66",1928,"OUTSTANDING PICTURE","False","Metro-Goldwyn-Mayer"
"67",1928,"OUTSTANDING PICTURE","False","Paramount Famous Lasky"
"68",1928,"WRITING","False","Tom Barry"
"69",1928,"WRITING","False","Elliott Clawson"
"70",1928,"WRITING","False","Hans Kraly"
"71",1928,"WRITING","True","Hans Kraly"
"72",1928,"WRITING","False","Josephine Lovett"
"73",1928,"WRITING","False","Bess Meredyth"
"74",1929,"ACTOR","True","George Arliss"
"75",1929,"ACTOR","False","George Arliss"
"76",1929,"ACTOR","False","Wallace Beery"
"77",1929,"ACTOR","False","Maurice Chevalier"
"78",1929,"ACTOR","False","Ronald Colman"
"79",1929,"ACTOR","False","Lawrence Tibbett"
"80",1929,"ACTRESS","False","Nancy Carroll"
"81",1929,"ACTRESS","False","Ruth Chatterton"
"82",1929,"ACTRESS","False","Greta Garbo"
"83",1929,"ACTRESS","True","Norma Shearer"
"84",1929,"ACTRESS","False","Norma Shearer"
"85",1929,"ACTRESS","False","Gloria Swanson"
"86",1929,"ART DIRECTION","False","Bulldog Drummond"
"87",1929,"ART DIRECTION","True","King of Jazz"
"88",1929,"ART DIRECTION","False","The Love Parade"
"89",1929,"ART DIRECTION","False","Sally"
"90",1929,"ART DIRECTION","False","The Vagabond King"
"91",1929,"CINEMATOGRAPHY","False","All Quiet on the Western Front"
"92",1929,"CINEMATOGRAPHY","False","Anna Christie"
"93",1929,"CINEMATOGRAPHY","False","Hell's Angels"
"94",1929,"CINEMATOGRAPHY","False","The Love Parade"
"95",1929,"CINEMATOGRAPHY","True","With Byrd at the South Pole"
"96",1929,"DIRECTING","False","Clarence Brown"
"97",1929,"DIRECTING","False","Robert Leonard"
"98",1929,"DIRECTING","False","Ernst Lubitsch"
"99",1929,"DIRECTING","True","Lewis Milestone"
"100",1929,"DIRECTING","False","King Vidor"
"101",1929,"OUTSTANDING PRODUCTION","True","All Quiet on the Western Front"
"102",1929,"OUTSTANDING PRODUCTION","False","The Big House"
"103",1929,"OUTSTANDING PRODUCTION","False","Disraeli"
"104",1929,"OUTSTANDING PRODUCTION","False","The Divorcee"
"105",1929,"OUTSTANDING PRODUCTION","False","The Love Parade"
"106",1929,"SOUND RECORDING","True","The Big House"
"107",1929,"SOUND RECORDING","False","The Case of Sergeant Grischa"
"108",1929,"SOUND RECORDING","False","The Love Parade"
"109",1929,"SOUND RECORDING","False","Raffles"
"110",1929,"SOUND RECORDING","False","Song of the Flame"
"111",1929,"WRITING","False","All Quiet on the Western Front"
"112",1929,"WRITING","True","The Big House"
"113",1929,"WRITING","False","Disraeli"
"114",1929,"WRITING","False","The Divorcee"
"115",1929,"WRITING","False","Street of Chance"
"116",1930,"ACTOR","True","Lionel Barrymore"
"117",1930,"ACTOR","False","Jackie Cooper"
"118",1930,"ACTOR","False","Richard Dix"
"119",1930,"ACTOR","False","Fredric March"
"120",1930,"ACTOR","False","Adolphe Menjou"
"121",1930,"ACTRESS","False","Marlene Dietrich"
"122",1930,"ACTRESS","True","Marie Dressler"
"123",1930,"ACTRESS","False","Irene Dunne"
"124",1930,"ACTRESS","False","Ann Harding"
"125",1930,"ACTRESS","False","Norma Shearer"
"126",1930,"ART DIRECTION","True","Cimarron"
"127",1930,"ART DIRECTION","False","Just Imagine"
"128",1930,"ART DIRECTION","False","Morocco"
"129",1930,"ART DIRECTION","False","Svengali"
"130",1930,"ART DIRECTION","False","Whoopee!"
"131",1930,"CINEMATOGRAPHY","False","Cimarron"
"132",1930,"CINEMATOGRAPHY","False","Morocco"
"133",1930,"CINEMATOGRAPHY","False","The Right to Love"
"134",1930,"CINEMATOGRAPHY","False","Svengali"
"135",1930,"CINEMATOGRAPHY","True","Tabu"
"136",1930,"DIRECTING","False","Cimarron"
"137",1930,"DIRECTING","False","A Free Soul"
"138",1930,"DIRECTING","False","The Front Page"
"139",1930,"DIRECTING","False","Morocco"
"140",1930,"DIRECTING","True","Skippy"
"141",1930,"OUTSTANDING PRODUCTION","True","Cimarron"
"142",1930,"OUTSTANDING PRODUCTION","False","East Lynne"
"143",1930,"OUTSTANDING PRODUCTION","False","The Front Page"
"144",1930,"OUTSTANDING PRODUCTION","False","Skippy"
"145",1930,"OUTSTANDING PRODUCTION","False","Trader Horn"
"146",1930,"SOUND RECORDING","False","Samuel Goldwyn - United Artists Studio Sound Department"
"147",1930,"SOUND RECORDING","False","Metro-Goldwyn-Mayer Studio Sound Department"
"148",1930,"SOUND RECORDING","True","Paramount Publix Studio Sound Department"
"149",1930,"SOUND RECORDING","False","RKO Radio Studio Sound Department"
"150",1930,"WRITING (Adaptation)","True","Cimarron"
"151",1930,"WRITING (Adaptation)","False","The Criminal Code"
"152",1930,"WRITING (Adaptation)","False","Holiday"
"153",1930,"WRITING (Adaptation)","False","Little Caesar"
"154",1930,"WRITING (Adaptation)","False","Skippy"
"155",1930,"WRITING (Original Story)","True","The Dawn Patrol"
"156",1930,"WRITING (Original Story)","False","The Doorway to Hell"
"157",1930,"WRITING (Original Story)","False","Laughter"
"158",1930,"WRITING (Original Story)","False","The Public Enemy"
"159",1930,"WRITING (Original Story)","False","Smart Money"
"160",1930,"SCIENTIFIC OR TECHNICAL AWARD (Class I)","True","To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment."
"161",1930,"SCIENTIFIC OR TECHNICAL AWARD (Class I)","True","To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film."
